Prunes, canned in syrup	93
Brown sauce, sweet	93
Yogurt, greek, sheep	92
Tomatoes, fried in corn oil	92
Tomatoes, fried in lard	92
Quorn, pieces, as purchased	92
Plaice, frozen, steamed	92
Whiting, steamed	92
Yogurt, infant, fruit flavour	91
Kidney, lamb, raw	91
Liver, chicken, raw	91
Milkshake, thick, takeaway	90
Mung beans, whole, dried, boiled in unsalted water	90
Lemon sole, steamed	90
Haddock, steamed	89
Coley, steamed, weighed with bones and skin	89
Pigeon, roasted, meat only, weighed with bone	88
Kidney, ox, raw	88
Sweet potato, raw	86
Cherry pie filling	86
Kidney, pig, raw	86
Macaroni, boiled	85
Rice pudding, canned	85
Whiting, steamed, weighed with bones and skin	85
Chicken soup, cream of, canned, condensed	85
Black gram, urad gram, dried, boiled in unsalted water	84
Baked beans, canned in tomato sauce, re-heated	83
Peas, raw	83
Prunes, canned in juice	83
Lemon sole, raw	83
Szechuan prawns with vegetables, takeaway	83
Mangoes, ripe, canned in syrup	82
Coley, raw	82
Haddock, raw	81
Yogurt, whole milk, plain	80
Mushy peas, canned, re-heated	80
Peas, canned, re-heated, drained	80
Cod, raw	80
Yogurt, low fat, fruit	79
Fruit pie filling	79
Plaice, raw	79
Tomato puree	79
Channel Island milk, whole, pasteurised	78
Channel Island milk, whole, pasteurised, summer	78
Channel Island milk, whole, pasteurised, winter	78
Cheese, cottage, plain, reduced fat	78
Broad beans, frozen, boiled in unsalted water	78
Peas, boiled in unsalted water	78
Peas, boiled in salted water	78
Curry sauce, canned	78
Damsons, stewed with sugar	77
Gooseberries, dessert, canned in syrup	77
Butter beans, canned, re-heated, drained	76
Blackcurrants, canned in syrup	76
Soya, alternative to yogurt, fruit	75
Old potatoes, baked, flesh only	75
Cherries, canned in syrup	75
Haddock, steamed, weighed with bones and skin	75
Coffee, instant	75
White wine, sparkling	75
Lollies, with real fruit juice	74
New potatoes, boiled in unsalted water	74
Breakfast milk, pasteurised, average	73
Breakfast milk, summer	73
Old potatoes, average, raw	73
Baked beans, canned in tomato sauce, reduced sugar, reduced salt	73
Tofu, soya bean, steamed	73
Breakfast milk, winter	72
Mange-tout peas, stir-fried in blended oil	72
Beansprouts, mung, stir-fried in blended oil	72
Lychees, canned in syrup	72
Cod, frozen, raw	72
Ravioli, canned in tomato sauce	71
Rice pudding, canned, low fat	71
Rose wine, medium	71
Old potatoes, boiled in unsalted water	70
Old potatoes, boiled in salted water	70
Human milk, mature	69
Milumil, reconstituted	69
New potatoes, average, raw	69
Apricots, canned in syrup	69
Red wine	69
Peas, frozen, boiled in unsalted water	68
Peas, frozen, boiled in salted water	68
Paw-paw, canned in juice	68
Strawberries, canned in syrup	68
Rabbit, stewed, meat only, weighed with bone	68
Milupa, Aptamil, reconstituted	67
Farley's Oster Milk, reconstituted	67
Whole milk, pasteurised, winter	67
Pineapple, canned in syrup	67
